"序号","代码","名称","最新价","涨跌幅","成交额","今开","市盈率(静)","总市值","流通市值","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"137","SY","新氧","1.870","-0.53%","482351","1.880","亏损","197135543.99","50581981.56","-10.95%","-11.37%","20.65%","-42.81%","-56.00%","-79.54%","-41.38%","卫生信息服务"
"138","HYW","海银控股","7.470","-0.53%","247579","7.430","6.669","209160000","209160000","-4.60%","0.95%","20.29%","35.57%","19.52%","6.26%","33.16%","资产管理"
"139","GOTU","高途","1.730","-0.57%","3254112","1.720","亏损","444620885.16","227407264.78","-1.14%","-14.36%","12.34%","-5.46%","-46.60%","-93.11%","-10.82%","教育及培训服务"
"140","BZ","BOSS直聘","24.110","-0.58%","26725017","24.290","亏损","9860479398.42","4023365773.45","-6.73%","-7.98%","35.37%","-21.36%","-29.21%","26.89%","-30.88%","人员配置和就业服务"
"141","VIOT","云米科技","1.680","-0.59%","90939","1.690","8.842","116889541.44","38170194.72","-1.18%","-6.67%","26.32%","-25.00%","-67.19%","-81.00%","-30.58%","-"
"142","YMM","满帮","6.520","-0.61%","23115725","6.620","亏损","7079713977.04","3812933392.2","-9.07%","-11.89%","25.87%","-31.73%","-54.66%","-65.68%","-22.10%","软件 - 应用"
"143","AMBO","安博教育","0.740","-0.62%","128563","0.730","亏损","17262975.3","7913215.9","2.72%","-3.90%","13.34%","-17.32%","-48.25%","-60.64%","-19.83%","教育及培训服务"
"144","CNET","中网载线","0.623","-0.64%","36022","0.637","亏损","22005191.235","18327537.928","-11.16%","-12.29%","-3.45%","-30.74%","-52.09%","-71.69%","-37.72%","广告公司"
"145","IFBD","讯鸟软件","0.676","-0.66%","49597","0.688","4.276","17061425","9865437.575","-3.47%","-21.88%","-4.83%","-34.98%","-68.13%","-83.11%","-37.44%","软件 - 应用"
"146","CREG","中国循环能源","5.960","-0.67%","54231","6.060","3.772","42656506.72","21377339.92","-1.00%","-7.31%","-6.73%","-18.58%","-0.17%","-21.99%","7.97%","公用事业-可再生"
"147","BIDU","百度","134.760","-0.70%","345256613","135.400","30.627","46566387131.88","36944995465.68","-4.41%","-8.04%","13.32%","-15.44%","-21.21%","-37.69%","-9.43%","互联网内容与信息"
"148","BABA","阿里巴巴","103.530","-0.71%","2179305167","104.480","12.404","278236875000","195503611073.19","-6.05%","-8.37%","19.40%","-24.66%","-37.94%","-56.72%","-12.85%","互联网零售"
"149","KNDI","康迪车业","2.770","-0.72%","1520157","2.790","9.233","211230075.65","170911393.28","-10.93%","-5.78%","-3.82%","-19.71%","-37.19%","-53.68%","-13.71%","汽车零件"
"150","SOL","瑞能新能源","5.540","-0.72%","5116891","5.540","56.530","386406174.78","234215095.22","-5.62%","-5.14%","-12.48%","-13.03%","-24.73%","-44.43%","-7.05%","太阳能"
"151","CPOP","普普文化","1.330","-0.75%","295498","1.460","7.514","31986500","14197868.37","-8.90%","-19.88%","3.10%","-35.12%","-53.15%","-77.83%","-63.36%","广告公司"
"152","BTOG","中国香态食品","1.120","-0.88%","343751","1.090","亏损","85810428.48","75174471.68","-4.27%","-0.83%","10.89%","-5.08%","6.67%","23.08%","-18.25%","包装食品"
"153","BZUN","宝尊电商","8.310","-0.95%","11021858","8.340","亏损","578360742.84","332323132.5","-7.77%","2.34%","28.04%","-41.60%","-56.01%","-76.55%","-40.22%","互联网零售"
"154","JD","京东","56.540","-0.98%","594217204","56.750","亏损","88169384484.72","65879478765.1","-4.32%","-5.64%","17.82%","-25.99%","-31.40%","-27.62%","-19.31%","互联网零售"
"155","NOAH","诺亚财富","21.600","-1.01%","5285945","21.980","7.081","1299638822.4","485130600","-10.71%","-14.99%","0.98%","-29.62%","-41.83%","-48.01%","-29.62%","资产管理"
"156","TUYA","涂鸦智能","2.940","-1.01%","5105376","2.950","亏损","1679464886.4","579843125.82","-6.67%","-9.26%","19.51%","-49.22%","-63.97%","-83.45%","-52.96%","软件-基础设施"
"157","GHG","格林酒店","4.850","-1.02%","19495","4.930","12.435","499791835.55","56730226.9","-5.46%","-7.97%","-4.90%","-42.12%","-39.97%","-60.57%","-38.76%","住宿"
"158","MSC","新濠影汇","5.780","-1.03%","2844","5.780","亏损","1217939144.7","50845920.16","7.64%","-20.82%","19.18%","1.76%","-32.22%","-55.19%","8.44%","度假村和赌场"
"159","KUKE","库客音乐","3.630","-1.09%","311633","3.700","亏损","107327204.49","33458730.03","-3.20%","-8.56%","-3.20%","-9.93%","-34.24%","-44.07%","-14.79%","娱乐"
"160","BHAT","蓝帽子","0.440","-1.10%","46715","0.445","2.095","23508909.72","13498606.368","-9.24%","7.26%","56.01%","6.10%","-21.86%","-61.73%","1.73%","电子游戏与多媒体"
"161","MNSO","名创优品","7.860","-1.13%","3192567","7.980","亏损","2408237881.68","436731208.62","-3.79%","-2.00%","7.23%","-22.64%","-50.53%","-70.77%","-23.98%","专业零售"
"162","TSM","台积电","99.290","-1.22%","1175660118","100.620","24.099","514925495075.39","480160129326.18","-3.41%","-6.97%","-1.62%","-24.55%","-13.14%","-16.43%","-17.07%","半导体"
"163","CANG","灿谷","2.400","-1.23%","190420","2.492","亏损","363371868","138649548","-8.75%","-6.61%","-9.77%","-32.96%","-47.02%","-66.34%","-23.57%","信贷服务"
"164","UCL","优克联","1.600","-1.23%","21688","1.640","亏损","45927740.8","15511328","-11.60%","-18.37%","3.90%","-30.43%","-58.76%","-83.72%","-75.72%","电信业务"
"165","AIH","医美国际","1.569","-1.33%","11215","1.690","亏损","37025089.41","7177487.778","-4.33%","-8.35%","-30.27%","-56.42%","-64.74%","-74.15%","-54.91%","医疗设施"
"166","TCOM","携程网","22.070","-1.34%","93067852","22.290","亏损","14068663012.84","10971291590.36","-10.10%","-1.65%","13.94%","-11.22%","-30.64%","-38.13%","-10.36%","旅行服务"
"167","FTFT","未来金融科技","0.704","-1.36%","117746","0.705","0.357","49292237.914","38954928.715","-12.06%","-9.65%","9.07%","-34.86%","-66.97%","-83.21%","-47.11%","软件 - 应用"
"168","FUTU","富途控股","35.630","-1.38%","133844746","36.000","15.097","5237326741.5","2292191916","2.98%","-4.37%","38.42%","-21.93%","-44.31%","-76.73%","-17.71%","资本市场"
"169","ASX","日月光半导体","6.830","-1.44%","46563389","6.910","6.969","15061664320.28","10791463341.42","-2.98%","-8.08%","-2.57%","-12.99%","0.15%","-6.97%","-12.55%","半导体"
"170","PT","品钛","0.692","-1.51%","31494","0.727","亏损","29997103.058","19490577.199","4.88%","9.87%","20.38%","9.89%","-32.14%","-34.08%","57.00%","信贷服务"
"171","METX","美联国际教育","0.150","-1.58%","1263036","0.152","亏损","51103198.031","46106518.665","-8.44%","-12.60%","-7.87%","-32.16%","-54.20%","-93.00%","-40.18%","教育及培训服务"
"172","HTHT","华住","32.240","-1.59%","47381940","32.640","亏损","10434517718.56","5920478319.6","-8.04%","0.75%","19.14%","-12.53%","-33.11%","-42.01%","-13.12%","住宿"
"173","DSWL","德斯维尔工业","3.710","-1.60%","1307","3.710","7.274","59119736.69","19589408.44","-3.13%","-1.33%","-1.40%","-5.12%","-5.84%","1.37%","-3.71%","电子元件"
"174","SOHU","搜狐","19.030","-1.60%","7746732","19.290","0.810","727342680.35","513381767.91","9.05%","22.22%","27.72%","9.43%","-12.18%","2.86%","16.89%","电子游戏与多媒体"
"175","MOMO","挚文集团","5.760","-1.71%","14180289","5.890","亏损","1138178545.92","817920000","-5.57%","-19.10%","-13.38%","-40.12%","-54.21%","-61.78%","-35.86%","互联网内容与信息"
"176","HIHO","骇维金属加工","2.555","-1.73%","12246","2.650","亏损","10314087.875","6247059.315","-8.63%","-12.20%","-18.50%","-30.71%","-34.42%","-24.34%","-36.62%","金属制造"
"177","NIO","蔚来","20.000","-1.77%","1202732889","20.110","亏损","33380122680","25584399480","-8.80%","0.45%","24.46%","-36.87%","-49.51%","-45.98%","-36.87%","汽车制造商"
"178","YY","欢聚","37.720","-1.80%","18978476","38.500","亏损","2777787291.96","1659671513","-0.55%","-1.44%","20.90%","-29.35%","-33.13%","-60.28%","-16.97%","互联网内容与信息"
"179","CO","国际脐带血库","3.700","-1.86%","91065","3.770","5.781","449738977.5","115258833.2","-6.57%","-4.88%","-6.09%","-14.75%","-15.72%","-22.43%","-11.69%","诊断与研究"
"180","CNF","泛华金融","3.150","-1.87%","113817","3.210","22.500","216033810.3","125104026.6","2.27%","-2.48%","-13.93%","-16.00%","-39.42%","-16.00%","-22.79%","抵押融资"
"181","JKS","晶科能源","47.850","-1.93%","30395470","48.210","亏损","2282073109.8","1757188563.9","-5.99%","-5.70%","7.50%","3.91%","-10.33%","30.88%","4.11%","太阳能"
"182","UMC","联电","8.430","-1.98%","72067616","8.620","10.630","21046755394.59","18099210000","-4.20%","-10.70%","-6.23%","-25.13%","-18.79%","-4.86%","-27.95%","半导体"
"183","LI","理想汽车","25.860","-2.01%","142861853","26.390","亏损","26709700251.3","14121883210.68","-5.07%","-2.05%","16.64%","-15.90%","-15.02%","22.56%","-19.44%","汽车制造商"
"184","EH","亿航智能","11.160","-2.02%","3050077","11.560","亏损","618588008.28","355145304.96","-12.74%","-11.57%","13.30%","-32.36%","-52.00%","-62.04%","-25.20%","航天军工"
"185","TOUR","途牛","0.810","-2.02%","71470","0.820","亏损","99985630.493","29733101.757","-6.96%","-10.91%","-10.06%","-36.26%","-44.93%","-74.70%","-16.55%","旅行服务"
"186","TIGR","向上融科","4.830","-2.03%","8312473","4.890","51.382","734835832.92","325478152.23","-2.42%","-14.51%","52.85%","4.32%","-37.84%","-75.70%","-1.63%","资本市场"
"187","PETZ","天地荟","0.376","-2.06%","838693","0.374","亏损","47486445.047","33497811.359","-9.59%","-3.64%","18.12%","-35.81%","-75.74%","-84.46%","-90.23%","包装食品"
"188","YI","1药网","2.370","-2.07%","421856","2.480","亏损","196409856.09","77034278.55","-12.22%","-22.04%","18.50%","-28.18%","-57.53%","-78.43%","-32.29%","医药零售商"
"189","OCFT","金融壹账通","1.380","-2.13%","1134685","1.440","亏损","538191100.38","172923643.44","0.00%","-18.82%","9.52%","-45.67%","-60.46%","-91.63%","-44.13%","软件 - 应用"
"190","MLCO","新濠博亚娱乐","6.850","-2.14%","17085399","6.940","亏损","3325784463","1376850000","-15.22%","-15.01%","1.78%","-30.95%","-38.23%","-64.91%","-32.71%","度假村和赌场"
"191","GSMG","耀世星辉","0.951","-2.16%","74062","0.980","1.761","64784404.302","27311703.381","-8.56%","-5.37%","8.08%","-20.08%","-46.57%","-75.86%","-19.41%","广告公司"
"192","XNET","迅雷","1.800","-2.17%","118947","1.840","100.000","121412860.2","65387192.4","-0.55%","6.51%","37.40%","-7.69%","-36.17%","-69.90%","-10.45%","广告公司"
"193","HAPP","幸福来","0.331","-2.19%","121187","0.340","11.023","26158265.168","21609428.134","11.42%","4.98%","10.23%","-40.95%","-62.95%","-82.50%","-41.97%","包装食品"
"194","ADAG","天演药业","3.570","-2.19%","147442","3.890","亏损","155925222.81","63170942.94","-2.19%","-17.36%","-22.39%","-59.25%","-69.85%","-73.75%","-55.75%","生物技术"
"195","CSIQ","阿特斯太阳能","33.700","-2.32%","16997189","34.050","23.082","2144585805.7","1678904209.2","-5.92%","-5.89%","1.63%","13.39%","-8.97%","-21.00%","7.70%","太阳能"
"196","DIDI","滴滴","2.520","-2.33%","49807104","2.510","亏损","11913768125.28","5587765464.96","-10.64%","-22.94%","33.33%","-49.19%","-69.42%","-82.00%","-49.40%","软件 - 应用"
"197","DUO","房多多","0.317","-2.46%","254434","0.333","亏损","25311423.871","12322669.041","-14.69%","-10.70%","0.70%","-23.61%","-63.98%","-94.02%","-31.83%","房地产服务"
"198","WNW","美物科技","0.790","-2.49%","415824","0.804","亏损","19745000","5331084.446","0.61%","-30.11%","-16.07%","-64.74%","-79.54%","-91.62%","-66.53%","互联网零售"
"199","SEED","奥瑞金种业","8.200","-2.61%","4167205","8.120","亏损","47507659.4","34955648.8","0.49%","-5.09%","-20.70%","10.51%","-14.85%","-48.26%","14.37%","农业投入"
"200","APM","知临集团","1.490","-2.61%","239298","1.530","7.450","53083878.36","13246214.73","-6.29%","8.76%","13.74%","6.43%","-43.56%","-42.69%","-0.67%","生物技术"
"201","UTSI","UT斯达康","0.735","-2.64%","1064","0.795","亏损","26593855.995","8801978.535","-8.13%","-5.14%","-0.68%","-19.21%","-34.96%","-54.35%","-15.52%","通信设备"
"202","OIIM","凹凸科技","3.690","-2.64%","129292","3.780","9.461","105147343.35","84100336.11","-11.30%","-6.58%","13.71%","-15.95%","-35.04%","-51.25%","-18.54%","半导体"
"203","HIMX","奇景光电","9.510","-2.66%","32509565","9.780","3.804","1657579400.7","1105886707.2","-11.29%","-18.72%","-9.77%","-26.56%","-8.20%","-24.28%","-40.53%","半导体"
"204","ZH","知乎","2.560","-2.66%","11945312","2.770","亏损","1437453742.08","1102611256.32","0.79%","1.19%","21.33%","-51.97%","-74.22%","-70.57%","-53.79%","互联网内容与信息"
"205","WIMI","微美全息","2.520","-2.70%","2884338","2.600","亏损","229766987.52","117277340.04","-8.70%","-4.18%","18.31%","-11.27%","-33.86%","-57.07%","-17.11%","广告公司"
"206","RCON","研控科技","1.070","-2.73%","603739","1.070","亏损","36166768.26","22972844.36","3.88%","-7.76%","5.94%","-14.40%","-59.32%","-83.41%","-18.32%","石油和天然气设备和服务"
"207","MHUA","美华国际","8.900","-2.73%","42591","9.150","11.028","210040000","68218500","-6.83%","4.09%","23.61%","-11.00%","-11.00%","-11.00%","-11.00%","医疗器械及用品"
"208","GIGM","和信超媒体","1.770","-2.75%","23121","1.820","亏损","19561350.726","11022556.671","-2.48%","-6.85%","-1.12%","-20.27%","-28.63%","-41.39%","-21.34%","电子游戏与多媒体"
"209","ICLK","爱点击","1.060","-2.75%","1030502","1.090","亏损","101547877.04","66486778.56","-21.48%","-7.02%","-28.38%","-76.75%","-84.75%","-91.05%","-77.01%","广告公司"
"210","KXIN","开心汽车","1.060","-2.75%","263192","1.060","亏损","152431728.02","99966011.48","-10.92%","-4.50%","-1.85%","-4.50%","-51.15%","-55.27%","-7.02%","汽车和卡车经销商"
"211","CLEU","华夏博雅","1.350","-2.88%","98493","1.360","7.068","21395249.55","14719968","-10.00%","23.85%","62.18%","7.14%","-43.51%","-63.32%","1.50%","教育及培训服务"
"212","YRD","宜人金科","2.350","-2.89%","29020","2.390","亏损","197362458.75","27926272","-6.37%","-7.48%","22.40%","-20.88%","-27.69%","-38.16%","-17.83%","信贷服务"
"213","ZME","掌门教育","1.280","-3.03%","252988","1.320","亏损","25314210.56","7400055.04","-3.76%","-21.47%","1.59%","-39.62%","-93.00%","-98.61%","-71.68%","教育及培训服务"
"214","ATIF","ATIF Holdings","3.420","-3.04%","8360","3.520","亏损","32686037.82","9921235.32","-6.30%","-9.28%","-10.24%","-23.19%","-16.59%","-39.47%","6.21%","资本市场"
"215","CLPS","华钦科技","1.910","-3.05%","45284","1.907","4.897","41091400.02","17460095.01","-13.18%","-6.83%","-1.55%","-13.57%","-35.03%","-59.01%","-2.55%","信息技术处"
"216","BEDU","博实乐教育","0.572","-3.12%","86595","0.594","亏损","68130247.23","10763718.432","0.26%","-5.75%","-42.84%","-46.58%","-80.36%","-89.64%","-50.72%","教育及培训服务"
"217","HUYA","虎牙","4.630","-3.14%","6643433","4.750","12.184","1102265401.03","381476881.45","-3.94%","-11.47%","26.50%","-37.69%","-48.56%","-74.31%","-33.29%","娱乐"
"218","ANPC","安派科","0.430","-3.15%","111476","0.431","亏损","7028476.569","4179623.199","-2.25%","-7.90%","-45.35%","-66.13%","-84.80%","-92.28%","-64.75%","生物技术"
"219","SFUN","房天下","3.910","-3.22%","9547","3.920","亏损","35329618.28","15342296.51","15.68%","-0.00%","12.36%","0.26%","-30.80%","-68.20%","2.62%","互联网内容与信息"
"220","BQ","波奇宠物","0.435","-3.24%","26110","0.430","亏损","39906695.414","18547935.504","-1.56%","-3.89%","-16.27%","-45.58%","-78.23%","-91.58%","-50.62%","专业零售"
"221","LKNCY","瑞幸咖啡","8.860","-3.28%","8229640.698","9.200","亏损","2242881082.14","604610679.38","-2.64%","-10.32%","14.13%","-3.06%","-44.63%","-7.32%","-6.14%","-"
"222","XPEV","小鹏汽车","27.190","-3.41%","179984692","27.860","亏损","23285938505.41","12575562148.77","-6.85%","0.52%","18.68%","-43.80%","-37.07%","-17.33%","-45.98%","汽车制造商"
"223","VIPS","唯品会","8.100","-3.46%","79845103","8.390","7.641","5499626746.5","3550195534.5","-13.37%","-12.90%","23.48%","-15.18%","-29.26%","-71.03%","-3.57%","互联网零售"
"224","CYD","玉柴国际","11.100","-3.48%","160892","11.590","10.571","453527019","138723360","-3.56%","-7.19%","-3.90%","-21.11%","-18.56%","-22.21%","-25.60%","专业工业机械"
"225","DQ","大全新能源","42.420","-3.48%","62051171","43.670","4.350","3160583970.6","2396559132.24","-1.78%","-4.01%","1.73%","1.63%","-37.70%","-36.02%","5.21%","半导体设备与材料"
"226","YQ","一起教育科技","2.420","-3.59%","222165","2.540","亏损","122943666.56","40274140.94","-11.36%","-20.66%","0.83%","110.43%","-27.16%","-90.89%","93.60%","教育及培训服务"
"227","NTP","南太地产","7.470","-3.86%","3812353","7.790","18.675","293257260","161041666.32","9.85%","28.79%","18.01%","-22.03%","-71.67%","-43.32%","-25.97%","房地产服务"
"228","NIU","小牛电动","9.540","-3.93%","1845422","9.930","21.681","727663490.46","438964229.88","-3.05%","-2.95%","14.25%","-41.40%","-61.50%","-72.53%","-40.78%","汽车制造商"
"229","ZKIN","正康国际","1.140","-4.20%","180964","1.170","亏损","33043743.6","23393786.1","-19.72%","-8.80%","9.62%","-21.38%","-60.14%","-83.09%","-17.99%","钢铁"
"230","CHNR","中国天然资源","0.879","-4.37%","110238","0.919","6.278","35993364.078","11785980.963","-5.48%","-2.33%","-22.21%","-12.97%","-27.36%","-47.37%","51.55%","其他工业金属和采矿"
"231","JT","简普科技","1.090","-4.39%","113843","1.140","亏损","23087697.66","6791762.75","-1.80%","7.92%","-7.63%","-16.79%","-35.50%","-57.25%","5.83%","信贷服务"
"232","IDEX","优点互动","0.914","-4.65%","5494142","0.970","亏损","455029505.153","427215360.85","-12.92%","-0.40%","3.58%","-20.50%","-50.04%","-66.63%","-23.81%","农重工程机械"
"233","AACG","ATA Creativity Global","1.210","-4.72%","8870","1.260","亏损","37966073.2","10801426.79","-15.97%","-16.55%","2.54%","-39.80%","-49.37%","-64.09%","13.03%","教育及培训服务"
"234","MF","每日优鲜","1.400","-4.76%","5217029","1.500","亏损","329632088.8","156677675","35.92%","-4.76%","-12.50%","-69.83%","-62.47%","-89.23%","-72.06%","杂货店"
"235","BEST","百世集团","0.565","-4.77%","517996","0.582","5.380","220124000","106895591.97","-14.03%","-16.11%","4.24%","-38.32%","-71.17%","-61.30%","-33.65%","货车运输"
"236","LIZI","荔枝","1.360","-4.90%","104683","1.450","亏损","68953104.32","28270537.6","-6.85%","-20.00%","22.52%","-18.07%","-56.89%","-81.24%","-26.49%","互联网内容与信息"
"237","BNR","燃石医学","8.930","-4.90%","1044030","9.340","亏损","933618006.77","322136747.92","-13.30%","-5.30%","20.35%","-4.29%","-37.55%","-70.72%","-6.30%","诊断与研究"
"238","CPHI","惠普森医药","0.361","-5.00%","58285","0.378","亏损","17084846.121","8739881.375","-7.22%","-14.64%","-8.02%","-16.65%","-37.78%","-55.33%","-25.22%","药品制造商-专业和非专利"
"239","UTME","联代科技","2.400","-5.14%","52383","2.520","亏损","19842703.2","9000000","-2.44%","-19.73%","34.08%","2.56%","-55.56%","-95.39%","-10.11%","消费类电子"
"240","QK","青客公寓","1.290","-5.15%","145354","1.320","亏损","14233418.82","7299901.02","-11.64%","-29.12%","4.88%","-45.97%","-69.02%","-88.38%","-53.51%","房地产服务"
"241","JP","钜派投资","0.620","-5.17%","27176","0.630","亏损","20599607.88","5740981.76","-6.06%","-14.84%","34.78%","-29.93%","-39.81%","-71.95%","-39.81%","资产管理"
"242","GDS","万国数据","33.570","-5.20%","58370083","35.430","亏损","6396901942.68","4042186661.88","-19.63%","-11.66%","22.70%","-27.48%","-43.01%","-56.00%","-28.82%","信息技术处"
"243","NCTY","第九城市","2.800","-5.25%","485336","2.980","0.252","58246994.4","43057364","-6.67%","-13.04%","-7.89%","-54.55%","-73.88%","-88.12%","-58.21%","电子游戏与多媒体"
"244","CAAS","中汽系统","2.795","-5.40%","19976","2.900","7.763","86221458.387","31214538.087","-6.22%","-4.62%","21.51%","2.00%","-14.27%","-39.90%","4.28%","汽车零件"
"245","NEW","朴新教育","1.700","-5.56%","119077","1.730","亏损","14852078.9","7149637.3","-11.46%","-20.93%","8.28%","-47.24%","-65.11%","-95.13%","-57.39%","教育及培训服务"
"246","CNTB","康乃德生物","2.870","-5.59%","34450","2.920","亏损","158069035.53","43149118.32","-5.90%","-7.12%","-7.72%","-43.95%","-81.38%","-83.55%","-44.27%","生物技术"
"247","KC","金山云","5.140","-5.69%","14504064","5.460","亏损","1249493507.08","572359374.96","-16.69%","-8.54%","4.68%","-63.67%","-82.13%","-88.40%","-67.37%","软件 - 应用"
"248","IQ","爱奇艺","4.360","-5.83%","124215508","4.630","亏损","3755159218","1567473279.2","-8.79%","1.16%","56.83%","-11.38%","-48.71%","-71.60%","-4.39%","互联网内容与信息"
"249","EBON","亿邦国际","1.110","-5.93%","752081","1.160","亏损","206277224.07","132136252.59","-11.90%","-21.55%","6.73%","4.72%","-43.37%","-76.23%","7.77%","计算机硬件"
"250","BRQS","播思科技","0.187","-6.33%","3389881","0.191","亏损","30233728.729","29286860.769","-11.19%","-17.77%","-35.24%","-53.88%","-65.63%","-84.96%","-49.92%","软件 - 应用"
"251","JZXN","九紫新能","1.250","-6.72%","162277","1.330","32.894","26783555","10564805","-6.02%","-4.58%","-11.35%","-16.67%","-41.86%","-75.00%","-14.97%","汽车和卡车经销商"
"252","ZLAB","再鼎医药","43.510","-6.73%","9321011","46.210","亏损","4194744407.93","3585422710.17","-4.31%","2.84%","46.10%","-22.72%","-56.13%","-73.60%","-30.77%","生物技术"
"253","BILI","哔哩哔哩","25.710","-6.88%","308235564","27.020","亏损","10042443931.77","6089674533.63","-6.92%","-6.61%","35.17%","-38.35%","-65.74%","-75.05%","-44.59%","电子游戏与多媒体"
"254","BYSI","万春医药","2.370","-7.06%","534962","2.500","亏损","92767139.61","54046909.11","-1.25%","6.76%","27.42%","-44.24%","-85.31%","-76.39%","-47.68%","生物技术"
"255","CD","秦淮数据","5.410","-7.84%","10542136","5.840","38.642","1975892622.9","647827737.27","-18.28%","-19.85%","13.89%","-12.46%","-40.29%","-65.30%","-17.91%","信息技术处"
"256","GLG","铜道控股","0.251","-7.96%","618406","0.271","亏损","51921011.511","42492956.972","-14.93%","-8.80%","14.05%","-25.36%","-59.43%","-82.70%","-39.58%","信息技术处"
"257","BGNE","百济神州","196.570","-7.97%","57892854","208.880","亏损","20183267425.64","11995937039.02","-0.27%","2.05%","21.69%","-21.27%","-45.52%","-34.62%","-27.45%","生物技术"
"258","RAAS","容联云","1.590","-8.09%","1243370","1.720","亏损","261348576.66","148173275.01","-12.64%","-11.67%","-2.45%","-36.40%","-60.74%","-86.23%","-45.17%","软件 - 应用"
"259","YGMZ","明珠货运","1.760","-8.33%","323846","1.870","27.936","40410087.52","24728487.52","-15.38%","-5.88%","10.00%","10.00%","-34.57%","-62.23%","-14.15%","货车运输"
"260","LEJU","乐居","0.601","-8.62%","96266","0.651","亏损","82244065.461","12283176.747","-26.86%","-6.08%","17.86%","-29.28%","-43.82%","-72.43%","-33.55%","房地产服务"
"261","TEDU","达内科技","2.300","-9.09%","13719","2.450","亏损","26029146","12731231.4","-9.80%","5.50%","-5.35%","34.50%","-55.77%","-84.97%","25.00%","教育及培训服务"
"262","AIHS","森淼科技","1.470","-9.26%","191285","1.590","亏损","9082217.13","7362647.88","-38.75%","-40.73%","-50.00%","-59.16%","-77.21%","-89.50%","-60.27%","信贷服务"
"263","VNET","世纪互联","5.400","-9.40%","8142425","5.880","亏损","792642639.6","415165975.2","-12.62%","-22.08%","13.45%","-41.81%","-68.98%","-81.26%","-40.20%","信息技术处"
"264","CAN","嘉楠科技","4.720","-9.40%","34178830","5.170","2.563","811017634.4","811017634.4","-16.75%","-19.04%","11.58%","-11.61%","-28.48%","-65.22%","-8.35%","计算机硬件"
"265","TANH","碳博士控股","0.468","-9.63%","3283440","0.500","亏损","7109784.128","6291230.296","-4.41%","-8.22%","-74.28%","-88.27%","-93.25%","-96.73%","-89.82%","家庭及个人产品"
"266","IMAB","天境生物","14.170","-11.38%","21443014","16.070","亏损","1132532644.75","523139537.7","-19.07%","-20.35%","-15.45%","-65.01%","-78.92%","-74.28%","-70.10%","生物技术"
"267","WUHN","武汉通用","0.182","-13.33%","24199.718","0.210","-","6174631.19","2146981.018","-17.27%","-21.08%","-23.75%","-57.61%","-55.61%","-74.36%","-71.99%","-"
"268","DDL","叮咚买菜","5.240","-14.80%","32687910","6.360","亏损","1236908984.92","585468385.92","43.56%","51.01%","38.62%","-53.71%","-78.59%","-77.70%","-67.59%","杂货店"
"269","SEII","Sharing Economy International","0.117","-18.61%","384243.736","0.137","亏损","27995625.099","2158215.579","116.67%","251.35%","2066.67%","1309.64%","406.16%","249.25%","1070.00%","-"
