"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"1","AMZN","亚马逊","2936.350","+150.770","5.41%","6753145","19790511385","1494145283303.5","0.000","0.000","0","0","2913.700","2785.580","2973.485","2879.560","1.70","0.00%","3.37","45.307","1.47","-0.17","-0.60%","-0.73%","-3.00%","-8.92%","-13.42%","-15.20%","-4.72%","-11.94%","互联网零售"
"2","COP","康菲石油","99.720","+3.510","3.65%","9480956","935819927","129588824063.52","0.000","0.000","0","0","97.280","96.210","99.825","96.440","0.75","0.00%","3.52","16.428","0.73","-0.01","0.03%","2.37%","13.67%","7.82%","41.51%","71.60%","76.54%","38.85%","油气E&P"
"3","XOM","埃克森美孚","85.360","+2.570","3.10%","44644244","3780340823","361841040000","0.000","0.000","0","0","84.010","82.790","85.680","82.900","0.84","0.00%","3.36","15.836","1.06","-0.18","-0.04%","5.33%","12.61%","8.05%","40.04%","58.57%","49.17%","41.05%","油气一体化"
"4","CVX","雪佛龙","170.820","+4.550","2.74%","34913612","5977689270","332681062563.72","0.000","0.000","0","0","168.740","166.270","174.760","168.290","0.93","0.00%","3.89","20.985","1.86","-0.14","0.05%","9.35%","26.67%","25.27%","48.96%","80.46%","62.48%","47.09%","油气一体化"
"5","RIO","力拓","74.850","+1.920","2.63%","6792533","498693325","121781780161.35","0.000","0.000","0","0","72.970","72.930","74.890","72.180","0.89","0.00%","3.72","5.779","0.48","0.06","0.07%","-5.04%","5.76%","1.83%","24.23%","17.24%","7.22%","19.16%","其他工业金属和采矿"
"6","DE","迪尔股份","378.150","+9.290","2.52%","1768770","662527900","116010493255.05","0.000","0.000","0","0","364.500","368.860","379.610","362.297","0.55","0.00%","4.69","19.913","0.62","-0.19","-0.14%","-0.99%","10.33%","-4.36%","7.93%","8.98%","2.13%","10.28%","农重工程机械"
"7","UNP","联合太平洋","259.650","+5.980","2.36%","4501234","1160837772","166922675505","0.000","0.000","0","0","252.000","253.670","259.910","249.560","0.69","0.00%","4.08","26.095","0.70","-0.11","-0.01%","1.64%","7.78%","5.86%","6.69%","30.13%","24.47%","3.57%","铁路"
"8","WMT","沃尔玛","142.630","+3.170","2.27%","9170929","1296405245","395638284464.54","0.000","0.000","0","0","139.490","139.460","143.000","139.010","0.85","0.00%","2.86","29.287","0.63","-0.01","-0.15%","2.40%","6.02%","3.59%","-0.65%","-1.05%","8.60%","-1.42%","折扣店"
"9","BHP","必和必拓","71.210","+1.370","1.96%","5434786","383868300","180244017179.95","0.000","0.000","0","0","69.860","69.840","71.250","69.470","0.65","0.00%","2.55","15.966","0.22","-0.13","0.35%","-2.45%","12.14%","8.07%","29.20%","34.06%","8.58%","23.38%","其他工业金属和采矿"
"10","SONY","索尼","100.180","+1.840","1.87%","816993","81693169","124249649723.96","0.000","0.000","0","0","100.070","98.340","100.760","99.190","1.11","0.00%","1.60","11.689","0.07","-0.12","-0.09%","-0.05%","-1.77%","-10.12%","-16.93%","-9.50%","-4.94%","-20.74%","消费类电子"
"11","ANTM","Anthem","473.200","+7.830","1.68%","1243017","581759219","114185227410.8","0.000","0.000","0","0","458.640","465.370","474.500","457.600","0.90","0.00%","3.63","19.134","0.52","-0.38","-0.14%","1.18%","7.41%","1.39%","10.35%","25.39%","39.64%","2.37%","医疗保健计划"
"12","TMUS","T-Mobile US","123.540","+1.580","1.30%","4200597","515098206","154337280917.16","0.000","0.000","0","0","120.660","121.960","123.920","120.440","0.83","0.00%","2.85","51.261","0.65","-0.17","-0.05%","-0.31%","-0.10%","-3.54%","7.42%","-3.48%","-1.66%","6.52%","电信业务"
"13","LLY","礼来","266.020","+3.230","1.23%","2797440","743254643","253343382458.52","0.000","0.000","0","0","262.840","262.790","267.730","262.840","0.86","0.00%","1.86","43.467","0.31","-0.17","-0.15%","2.85%","9.44%","9.81%","7.48%","16.47%","42.77%","-3.29%","药品制造商-通用"
"14","UNH","联合健康","491.440","+5.870","1.21%","2834819","1381512947","462395476310.24","0.000","0.000","0","0","477.911","485.570","492.249","476.416","0.77","0.00%","3.27","27.181","0.30","-0.55","0.03%","1.30%","8.12%","-1.04%","3.09%","17.70%","40.75%","-1.84%","医疗保健计划"
"15","NVS","诺华制药","82.970","+0.820","1.00%","2684309","222668401","185432967485.56","0.000","0.000","0","0","82.870","82.150","83.640","82.144","0.81","0.00%","1.82","7.805","0.12","-0.02","-0.07%","0.35%","0.89%","-0.87%","6.92%","3.55%","1.35%","-1.17%","药品制造商-通用"
"16","COST","好市多","532.720","+5.070","0.96%","1777660","937999325","236143588880","0.000","0.000","0","0","523.110","527.650","534.370","518.140","0.47","0.00%","3.08","47.268","0.40","-0.27","-0.12%","-0.06%","5.37%","0.74%","-4.25%","16.30%","62.34%","-6.02%","折扣店"
"17","CAT","卡特彼勒","211.790","+2.010","0.96%","4886260","1038243377","113495730321.29","0.000","0.000","0","0","209.390","209.780","217.520","208.180","0.79","0.00%","4.45","17.902","0.91","-0.25","-0.29%","8.69%","14.67%","4.02%","5.75%","7.13%","-6.34%","2.94%","农重工程机械"
"18","PFE","辉瑞","49.200","+0.450","0.92%","24542343","1199036204","276668646373.2","0.000","0.000","0","0","48.305","48.750","49.290","48.050","0.78","0.00%","2.54","12.779","0.44","-0.08","-0.10%","2.86%","7.05%","-4.41%","-10.19%","13.94%","43.92%","-16.05%","药品制造商-通用"
"19","MDT","美敦力","104.460","+0.880","0.85%","5146890","533904511","140137182533.88","0.000","0.000","0","0","102.815","103.580","104.640","102.401","0.72","0.00%","2.16","39.270","0.38","-0.17","-0.05%","-2.96%","1.09%","-1.54%","-6.85%","-18.55%","-10.44%","0.98%","医疗设备"
"20","AZN","阿斯利康","60.900","+0.470","0.78%","6667621","404357057","188719373904.6","0.000","0.000","0","0","59.960","60.430","61.005","59.830","0.71","0.00%","1.94","1522.500","0.22","-0.02","-0.05%","1.38%","4.77%","8.23%","13.43%","11.43%","27.96%","6.28%","药品制造商-通用"
"21","ORCL","甲骨文","76.650","+0.550","0.72%","13812596","1048117911","204689762550","0.000","0.000","0","0","75.100","76.100","76.850","75.030","1.36","0.00%","2.39","16.846","0.91","0.01","0.15%","-2.04%","2.46%","-8.15%","-23.74%","-10.63%","14.90%","-11.78%","软件-基础设施"
"22","RY","加拿大皇家银行","108.280","+0.650","0.60%","902361","97384286","153391629733.72","0.000","0.000","0","0","107.170","107.630","108.530","107.000","0.57","0.00%","1.42","12.536","0.06","-0.05","-0.00%","-1.24%","0.74%","-6.32%","9.16%","9.93%","20.59%","2.87%","银行-综合性"
"23","BLK","贝莱德","697.200","+3.950","0.57%","1007807","700376782","106003961977.2","0.000","0.000","0","0","681.540","693.250","705.820","681.380","0.76","0.00%","3.53","18.241","0.71","-0.12","-0.21%","-4.86%","-4.09%","-13.67%","-23.52%","-19.57%","-1.05%","-23.34%","资产管理"
"24","AXP","美国运通","169.600","+0.950","0.56%","3841129","648237691","129065600000","0.000","0.000","0","0","165.590","168.650","170.960","164.830","0.68","0.00%","3.63","16.926","0.63","-0.09","0.02%","-5.72%","-9.95%","-13.65%","4.12%","3.98%","16.61%","3.93%","信贷服务"
"25","CVS","西维斯健康","104.080","+0.480","0.46%","3595063","372394281","136606085138.08","0.000","0.000","0","0","103.100","103.600","104.260","102.570","0.61","0.00%","1.63","17.492","0.28","-0.19","-0.10%","-0.44%","3.28%","-0.68%","5.80%","23.08%","42.16%","1.43%","医疗保健计划"
"26","BMY","施贵宝","68.420","+0.290","0.43%","12817401","876925743","151868106452.7","0.000","0.000","0","0","67.770","68.130","68.730","67.705","0.84","0.00%","1.50","21.929","0.58","-0.16","-0.26%","-1.00%","1.97%","1.91%","16.88%","13.49%","15.08%","10.70%","药品制造商-通用"
"27","PLD","安博","151.080","+0.600","0.40%","1988450","298208514","111697523160","0.000","0.000","0","0","148.990","150.480","151.540","147.780","0.79","0.00%","2.50","38.345","0.27","-0.28","-0.16%","1.00%","5.41%","-2.76%","-6.21%","16.58%","49.95%","-10.26%","REIT-工业"
"28","SCHW","嘉信理财","79.650","+0.260","0.33%","5030951","398156734","150850287535.5","0.000","0.000","0","0","78.130","79.390","79.830","77.710","0.72","0.00%","2.67","28.144","0.32","-0.19","-0.13%","-1.31%","-3.18%","-15.55%","0.55%","13.59%","21.20%","-5.09%","资本市场"
"29","VZ","Verizon","53.230","+0.150","0.28%","17501823","930054477","223459540000","0.000","0.000","0","0","53.000","53.080","53.340","52.780","0.63","0.00%","1.06","10.005","0.42","-0.04","-0.08%","-2.62%","1.22%","-0.50%","7.14%","0.43%","0.14%","3.68%","电信业务"
"30","TTE","道达尔","50.790","+0.120","0.24%","3122571","157634989","132062806122.57","0.000","0.000","0","0","50.280","50.670","50.966","50.085","0.59","0.00%","1.74","8.579","0.13","-0.20","-0.11%","-0.27%","-4.49%","-15.39%","4.51%","15.65%","10.09%","2.69%","油气一体化"
"31","HD","家得宝","317.940","+0.740","0.23%","3895211","1222877312","332005403935.38","0.000","0.000","0","0","314.360","317.200","318.260","308.751","0.89","0.00%","3.00","20.472","0.37","-0.16","-0.02%","-1.39%","2.11%","-12.22%","-21.07%","-4.32%","16.50%","-22.93%","家居装修零售"
"32","TM","丰田汽车","164.430","+0.380","0.23%","392732","64299832","227221556618.7","0.000","0.000","0","0","165.380","164.050","165.380","162.520","0.82","0.00%","1.74","11.466","0.04","-0.05","0.04%","-6.62%","-9.77%","-18.34%","-6.64%","-9.13%","7.54%","-11.26%","汽车制造商"
"33","ABBV","艾伯维公司","149.170","+0.330","0.22%","4635711","690901571","263845008671.93","0.000","0.000","0","0","148.070","148.840","149.750","147.700","0.67","0.00%","1.38","23.127","0.26","-0.19","-0.04%","-0.82%","2.68%","4.17%","19.14%","41.60%","41.60%","11.31%","药品制造商-通用"
"34","UPS","UPS快递","207.180","+0.400","0.19%","2284340","470612221","180327690873.54","0.000","0.000","0","0","204.495","206.780","207.370","203.860","0.68","0.00%","1.70","14.113","0.32","-0.15","-0.02%","-2.47%","-0.00%","-7.28%","1.15%","10.36%","30.25%","-2.64%","综合货运物流"
"35","JNJ","强生","169.660","+0.300","0.18%","6171649","1044595523","446081635686.2801","0.000","0.000","0","0","168.560","169.360","170.150","168.075","0.67","0.00%","1.23","21.723","0.23","-0.19","-0.19%","0.70%","7.28%","-0.43%","1.37%","4.32%","8.45%","-0.19%","药品制造商-通用"
"36","TXN","德州仪器","172.750","+0.290","0.17%","6079155","1043532917","159621000000","0.000","0.000","0","0","169.480","172.460","173.420","168.590","0.82","0.00%","2.80","20.914","0.66","-0.25","-0.21%","1.02%","1.86%","-2.24%","-10.01%","-10.84%","1.15%","-7.73%","半导体"
"37","TD","多伦多道明银行","76.960","+0.110","0.14%","1649735","126598295","139797840000","0.000","0.000","0","0","76.340","76.850","77.375","75.925","0.62","0.00%","1.89","12.779","0.09","-0.06","0.01%","-0.68%","-3.70%","-9.08%","4.76%","21.20%","21.38%","1.25%","银行-综合性"
"38","MRK","默沙东","77.890","+0.100","0.13%","8972190","698431728","196885170571.34","0.000","0.000","0","0","77.630","77.790","78.200","77.335","0.82","0.00%","1.11","15.153","0.36","-0.26","-0.12%","0.96%","5.96%","1.78%","7.09%","9.69%","10.08%","1.63%","药品制造商-通用"
"39","GE","通用电气","91.330","+0.080","0.09%","8115515","734080120","100401067483.06","0.000","0.000","0","0","87.770","91.250","91.600","87.452","1.20","0.00%","4.55","-14.826","0.76","-0.05","-0.17%","-1.12%","-1.22%","-7.90%","-1.76%","-8.86%","-14.20%","-3.24%","专业工业机械"
"40","ACN","埃森哲","309.520","+0.100","0.03%","2048963","630251676","195774151942.32","0.000","0.000","0","0","305.000","309.420","310.156","304.020","0.78","0.00%","1.98","33.790","0.32","-0.19","-0.11%","-2.96%","-2.10%","-12.94%","-17.84%","-7.20%","17.59%","-25.14%","信息技术处"
"41","DIS","迪士尼","133.640","-0.010","-0.01%","8447238","1123972482","243309448645.12","0.000","0.000","0","0","132.360","133.650","134.200","131.620","0.60","0.00%","1.93","122.605","0.46","-0.01","0.01%","-8.20%","-10.55%","-9.23%","-11.16%","-27.16%","-32.08%","-13.72%","娱乐"
"42","RTX","Raytheon Technologies","98.510","-0.010","-0.01%","5118396","503719967","147009525529.37","0.000","0.000","0","0","98.170","98.520","99.800","97.660","0.52","0.00%","2.17","38.480","0.38","-0.17","-0.06%","-1.32%","4.52%","3.19%","17.46%","19.49%","26.73%","15.10%","航天军工"
"43","BRK.B","伯克希尔-B","325.300","-0.100","-0.03%","3845454","1245745544","720283215973.3001","0.000","0.000","0","0","322.490","325.400","325.700","321.580","0.64","0.00%","1.27","8.206","0.21","-0.12","0.11%","-0.74%","5.52%","0.91%","12.17%","17.54%","27.76%","8.80%","保险-综合性"
"44","HSBC","汇丰控股","31.270","-0.010","-0.03%","4566257","142535491","126750346212.84","0.000","0.000","0","0","31.340","31.280","31.470","30.940","0.64","0.00%","1.69","10.087","0.11","-0.11","0.02%","-3.25%","-7.80%","-14.89%","13.23%","24.93%","10.14%","6.70%","银行-综合性"
"45","SHEL","Shell PLC","51.690","-0.020","-0.04%","4356648","224693783","197222696966.85","0.000","0.000","0","0","51.620","51.710","51.970","51.090","0.55","0.00%","1.70","10.056","0.11","-0.05","-0.02%","0.66%","0.19%","-4.76%","18.61%","30.39%","27.82%","20.31%","油气一体化"
"46","BRK.A","伯克希尔-A","487820.000","-425.000","-0.09%","1578","765428724","720091102620","0.000","0.000","0","0","484252.135","488245.000","490800.000","482520.010","0.79","0.00%","1.70","8.204","0.13","-0.11","0.05%","-0.70%","5.56%","0.81%","11.44%","17.15%","26.25%","8.25%","保险-综合性"
"47","BA","波音","178.390","-0.170","-0.10%","8364100","1491049952","105056984262.28","0.000","0.000","0","0","175.760","178.560","182.020","175.390","0.67","0.00%","3.71","-24.949","1.56","-0.26","-0.15%","-5.54%","-10.10%","-17.36%","-9.63%","-16.39%","-32.84%","-11.39%","航天军工"
"48","AMT","美国电塔","232.800","-0.310","-0.13%","1300343","300525556","106020308661.6","0.000","0.000","0","0","230.930","233.110","233.480","227.100","0.63","0.00%","2.74","41.130","0.29","-0.29","-0.11%","-1.04%","0.45%","-6.84%","-15.24%","-19.98%","8.66%","-20.41%","REIT-专业"
"49","NEE","新纪元能源","80.160","-0.160","-0.20%","9554345","762507103","157333639039.68","0.000","0.000","0","0","79.560","80.320","80.460","78.440","0.71","0.00%","2.51","44.287","0.49","-0.24","-0.17%","1.74%","6.85%","5.14%","-12.14%","-0.83%","8.27%","-13.66%","公用事业-受管制的电力"
"50","MCD","麦当劳","222.000","-0.470","-0.21%","5444938","1199091591","165888484794","0.000","0.000","0","0","220.200","222.470","222.050","217.675","1.06","0.00%","1.97","22.111","0.73","-0.09","0.11%","-6.19%","-8.89%","-14.09%","-15.15%","-7.43%","2.95%","-16.72%","饭馆"
"51","T","AT&T","23.190","-0.070","-0.30%","40500778","935794184","165599790000","0.000","0.000","0","0","23.220","23.260","23.220","22.940","0.96","0.00%","1.20","8.402","0.57","0.06","0.11%","-3.01%","-0.17%","-5.35%","5.44%","-12.38%","-16.53%","-3.82%","电信业务"
"52","EQNR","Equinor","33.120","-0.100","-0.30%","5010327","164955751","106874371848.96","0.000","0.000","0","0","32.880","33.220","33.265","32.540","0.89","0.00%","2.18","12.593","0.48","-0.14","-0.02%","1.88%","6.43%","12.60%","29.39%","44.27%","64.09%","26.54%","油气一体化"
"53","WFC","富国银行","49.010","-0.150","-0.31%","26178780","1276019925","190443131367.97","0.000","0.000","0","0","48.260","49.160","49.570","47.850","0.62","0.00%","3.50","9.901","0.67","-0.15","-0.04%","-4.35%","-7.02%","-17.02%","1.38%","6.35%","25.30%","2.61%","银行-综合性"
